%YEAR	MON	DAY	HOUR	MIN	SEC	LAT	LON	DEP	MW	Stk1	Dip1	Rake1	Stk2	Dip2	Rake2	Ptr	Ppl	Ttr	Tpl	Ntr	Npl
2004	1	7	7	51	38	43.58	-110.39	14	4.77	40	75	-20	135	71	-164	357	25	88	3	185	65
2004	1	7	8	44	21	43.57	-110.38	13	3.95	130	75	-155	33	66	-16	353	28	260	6	159	61
2004	1	7	9	23	47	43.6	-110.35	17	3.79	128	80	-165	35	75	-10	352	18	261	4	159	72
2004	3	17	23	53	7	35.73	-121.07	5	4.62	105	55	70	317	40	116	209	8	324	72	117	16
2004	3	22	12	9	56	36.85	-104.85	4	4.39	175	55	-95	4	35	-83	66	79	269	10	178	4
2004	4	7	15	54	12	43.61	-110.36	8	3.73	311	85	-165	220	75	-5	177	14	85	7	329	74
2004	5	16	1	29	40	37.27	-114.96	6	3.97	350	75	-160	255	71	-16	213	25	122	3	25	65
2004	5	23	9	22	5	32.53	-104.56	3	3.92	345	50	-120	207	48	-59	188	67	96	1	5	23
2004	6	15	8	34	21	36.73	-89.68	2	3.49	175	55	70	27	40	116	279	8	34	72	187	16
2004	6	22	8	55	28	32.53	-104.58	2	3.57	5	70	-110	232	28	-47	246	60	110	22	12	19
2004	6	27	7	0	13	42.2	-120.29	8	4.01	164	64	-114	30	35	-50	35	63	272	16	175	22
2004	6	28	6	10	52	41.44	-88.96	7	4.15	200	90	165	290	75	0	246	11	154	11	20	75
2004	6	30	12	21	45	42.17	-120.3	9	4.63	160	60	-120	29	41	-49	21	62	271	10	176	26
2004	7	12	16	45	0	44.33	-124.49	15	4.67	186	71	97	345	20	70	271	26	107	63	4	7
2004	7	16	3	25	17	36.86	-89.16	5	3.46	43	71	159	140	70	20	92	1	1	28	183	62
2004	7	16	12	17	30	40.63	-95.56	12	3.53	290	55	-135	170	55	-45	140	55	50	0	320	35
2004	7	22	20	26	27	42.19	-120.29	8	4.45	164	64	-114	30	35	-50	35	63	272	16	175	22
2004	8	1	6	50	46	36.89	-104.92	4	4.28	155	65	-120	29	38	-43	22	59	266	15	169	27
2004	8	4	23	55	26	43.69	-78.25	3	3.19	125	65	35	19	59	150	250	4	344	42	156	48
2004	8	14	20	14	43	43.17	-111.02	8	3.63	20	75	-60	134	33	-152	324	51	87	24	192	29
2004	8	16	21	5	54	46.68	-121.5	11	4.02	320	73	148	60	60	20	12	8	276	34	114	54
2004	8	19	6	6	3	44.66	-124.31	23	4.7	155	65	75	7	29	119	256	19	38	67	161	14
2004	8	19	23	51	49	33.18	-86.93	4	3.63	222	61	-84	30	30	-100	146	74	307	15	39	5
2004	8	26	23	11	37	64.76	-86.28	23	4.24	155	60	80	354	31	107	252	14	40	73	160	9
2004	9	12	13	5	19	39.61	-85.75	13	3.83	226	76	164	320	75	15	273	0	183	21	4	69
2004	9	28	17	15	24	35.81	-120.37	8	5.89	140	85	-155	48	65	-6	7	21	271	14	151	65
2004	10	1	19	22	18	37.4	-117.11	9	3.87	355	85	-155	263	65	-6	222	21	126	14	6	65
2004	11	7	6	54	59	38.24	-108.95	9	3.6	67	85	-160	335	70	-5	293	17	199	11	79	69
2004	11	7	11	20	25	32.97	-87.9	3	4.25	246	54	-70	35	40	-115	208	72	323	7	55	16
2004	11	16	18	21	28	42	-120.45	12	3.95	150	75	-130	43	42	-23	20	45	269	20	162	38
2004	11	21	15	50	32	44.35	-114.01	13	3.86	195	60	55	69	45	135	309	9	54	59	214	30
2005	1	28	22	37	7	34.71	-111	4	3.76	229	76	-164	135	75	-15	92	21	2	0	271	69
2005	1	30	11	37	50	34.76	-111.08	3	4	90	65	-100	293	27	-70	340	68	187	19	94	9
2005	2	10	14	4	53	35.75	-90.23	14	4.11	55	80	-165	322	75	-10	279	18	188	3	88	72
2005	3	6	6	17	49	47.75	-69.73	13	4.57	170	60	80	9	31	107	267	14	55	73	175	9
2005	5	1	12	37	32	35.83	-90.15	8	4.22	215	73	148	315	60	20	267	8	171	34	9	54
2005	6	2	11	35	10	36.14	-89.46	15	3.89	155	65	70	16	32	126	260	18	31	64	164	18
2005	6	11	11	16	10	42.27	-120.07	14	3.61	125	60	-125	0	45	-45	344	59	240	8	145	30
2005	6	20	12	21	41	36.95	-88.96	4	3.6	320	80	15	227	75	170	93	3	184	18	353	72
2005	7	26	4	8	36	45.4	-112.55	10	5.47	359	58	-42	115	55	-140	325	51	58	2	149	39
2005	7	26	7	12	46	45.43	-112.61	13	3.84	275	85	-130	179	40	-8	150	37	36	29	279	40
2005	7	27	15	51	46	45.39	-112.62	12	3.99	99	78	-144	0	55	-15	325	34	225	15	115	52
2005	7	28	2	29	30	45.5	-112.43	12	3.54	333	61	-62	105	40	-130	290	63	43	11	138	24
2005	7	29	14	7	18	45.42	-112.6	11	3.52	272	80	-129	170	40	-15	145	41	31	25	279	38
2005	8	7	5	28	34	45.5	-112.57	12	3.68	97	54	-127	330	50	-50	307	60	213	2	122	29
2005	8	10	22	8	17	36.95	-104.86	4	4.88	5	53	-74	160	40	-110	327	76	84	7	176	13
2005	8	12	20	53	48	42.2	-120.04	13	3.95	153	84	-125	55	35	-10	31	41	271	31	157	34
2005	8	25	3	9	41	35.88	-82.8	8	3.65	90	60	-60	221	41	-131	49	62	159	10	254	26
2005	9	16	15	9	44	39	-119.56	12	4.06	200	65	-50	317	46	-144	158	52	262	11	0	36
2005	9	28	5	27	32	44.6	-116.07	11	3.84	71	72	154	170	65	20	122	5	29	31	219	58
2005	9	28	23	18	0	44.56	-115.99	8	3.64	250	90	-140	160	50	0	123	27	17	27	250	50
2005	9	28	23	20	45	44.61	-116.05	8	3.79	170	70	30	69	62	157	298	5	32	35	201	54
2005	9	29	13	50	15	44.49	-116.06	9	3.85	355	75	55	245	38	155	111	22	228	48	5	34
2005	10	2	1	10	1	44.54	-115.99	7	3.84	302	63	-104	150	30	-65	184	69	42	17	308	12
2005	10	20	21	16	28	44.68	-80.48	10	3.61	167	67	101	320	25	65	249	22	97	66	343	10
2005	10	31	0	23	30	44.9	-113.45	14	4.46	303	80	-113	190	25	-25	187	50	52	31	307	23
2005	11	21	17	52	32	44.83	-111.53	16	3.54	325	65	-55	86	42	-141	281	55	30	13	129	31
2005	12	19	20	27	40	32.52	-104.57	5	4.14	43	50	-94	230	40	-85	284	84	136	5	46	3
2006	1	11	10	2	36	43.55	-127.19	29	5.3	117	77	149	215	60	15	169	11	72	31	277	57
2006	1	18	9	47	45	45.42	-112.57	12	4.03	10	70	-25	109	67	-158	329	32	60	2	154	58
2006	2	5	3	25	52	44.74	-111.88	13	4.43	264	66	-116	135	35	-45	135	60	13	17	276	24
2006	2	10	21	48	13	39.55	-107.43	9	3.8	267	56	-83	75	35	-100	202	78	352	10	83	6
2006	2	16	12	28	32	66.93	-135.83	11	4.12	265	90	-30	355	60	-180	216	21	314	21	85	60
2006	2	18	13	1	31	66.5	-142.11	13	4.17	70	85	-20	162	70	-175	24	18	118	10	237	69
2006	2	25	1	39	22	45.65	-75.23	16	3.62	145	50	85	333	40	96	239	5	20	84	148	4
2006	3	5	10	42	16	64.93	-129.26	2	5.42	117	45	95	290	45	85	204	0	112	86	294	4
2006	3	29	3	36	54	66.41	-142.23	6	4.3	130	76	159	225	70	15	178	4	86	24	277	65
2006	4	7	8	31	40	47.38	-70.46	25	3.77	15	55	85	204	35	97	109	10	266	79	18	4
2006	5	18	10	16	21	44.17	-110.34	8	3.84	314	71	-126	200	40	-30	183	50	70	18	327	34
2006	5	24	4	20	27	32.35	-115.19	12	5.09	35	45	-90	215	45	-90	0	90	125	0	35	0
2006	6	7	4	4	3	43.35	-111.37	8	3.31	185	60	-90	5	30	-90	95	75	275	15	185	0
2006	6	11	10	1	50	40.25	-111.07	14	3.5	113	76	111	235	25	35	186	28	48	54	287	20
2006	6	17	16	22	14	45.6	-111.91	10	3.83	308	51	-124	175	50	-55	152	64	61	1	331	26
2006	6	18	0	5	33	45.6	-111.9	10	4.17	305	60	-120	174	41	-49	166	62	56	10	321	26
2006	6	20	20	11	18	41.84	-81.17	4	3.55	5	90	-165	275	75	0	231	11	139	11	5	75
2006	6	30	16	55	1	42.43	-111.5	10	4.15	10	65	-70	149	32	-126	314	64	85	18	181	18
2006	7	14	9	34	46	47	-68.79	17	3.48	38	73	108	170	25	45	114	25	333	58	212	17
2006	7	14	17	6	1	42.43	-111.54	10	3.96	10	75	-70	135	25	-142	305	56	84	27	185	19
2006	8	26	0	50	4	66.26	-142.49	21	4.48	230	75	-20	325	71	-164	187	25	278	3	15	65
2006	8	27	2	58	23	66.27	-142.14	22	4.33	235	80	-15	328	75	-170	191	18	282	3	22	72
2006	8	27	3	20	5	66.3	-142.25	20	4.35	319	76	-164	225	75	-15	182	21	92	0	1	69
2006	9	1	23	44	49	66.43	-142.44	3	4.41	316	76	164	50	75	15	3	0	273	21	94	69
2006	9	2	19	54	59	42.43	-111.53	9	3.62	15	70	-65	141	32	-139	319	58	86	21	186	23
2006	10	3	0	7	37	44.33	-68.17	2	3.87	166	55	93	340	35	85	254	10	90	80	344	3
2006	10	8	2	48	27	46.85	-121.6	12	4.31	145	74	127	255	40	25	208	20	94	47	314	36
2007	1	3	14	34	38	37.06	-104.9	3	4.19	10	45	-90	190	45	-90	0	90	100	0	10	0
2007	1	9	15	49	35	59.37	-136.87	13	5.59	169	64	146	275	60	30	223	3	130	41	316	49
2007	1	24	11	30	15	37.41	-117.08	9	3.83	265	90	-10	355	80	-180	220	7	310	7	85	80
2007	2	25	3	52	21	42.47	-110.67	11	3.96	325	70	-75	107	25	-125	258	62	43	24	140	14
2007	2	28	11	47	41	41.06	-114.77	12	3.58	60	70	-25	159	67	-158	19	32	110	2	204	58
2007	3	2	4	40	0	37.93	-122.14	12	4.3	348	80	170	80	80	10	34	0	304	14	125	76
2007	3	5	18	6	22	58.81	-134.44	1	3.81	221	55	93	35	35	85	309	10	145	80	39	3
2007	3	29	5	39	31	45.34	-112.58	11	3.71	5	50	-60	143	48	-121	342	67	74	1	165	23
2007	4	10	16	34	25	69.73	-144.68	18	4.49	104	67	153	205	65	25	155	2	64	35	247	55
2007	4	27	15	42	50	37.1	-115.27	10	3.82	168	80	170	260	80	10	214	0	124	14	305	76
2007	4	28	5	20	30	69.65	-144.79	21	4.87	25	90	0	295	90	180	340	0	70	0	0	90
2007	5	8	15	46	49	45.39	-112.13	10	4.36	345	55	-85	156	35	-97	274	79	71	10	162	4
2007	5	23	19	9	15	22.02	-96.27	11	5.6	190	75	-160	95	71	-16	53	25	322	3	225	65
2007	5	25	13	40	18	25.96	-110.05	6	4.55	315	80	-160	221	70	-11	180	21	87	7	341	68
2007	6	9	10	45	44	36.93	-104.79	4	3.35	195	50	-60	333	48	-121	172	67	264	1	355	23
2007	6	10	18	6	6	66.27	-142.3	12	4.27	145	85	-175	55	85	-5	10	7	280	0	190	83
2007	6	11	1	3	46	37.5	-114.04	9	3.74	345	90	-155	255	65	0	213	17	117	17	345	65
2007	6	12	7	23	43	37.54	-118.88	14	4.55	131	85	-165	40	75	-5	357	14	265	7	149	74
2007	6	14	21	57	56	45.13	-120.95	16	3.57	75	90	-20	165	70	-180	28	14	122	14	255	70
2007	6	25	2	32	26	41.13	-124.81	28	4.88	305	90	-155	215	65	0	173	17	77	17	305	65
2007	8	6	5	59	45	37.81	-114.43	8	3.87	14	82	145	110	55	10	67	18	326	30	183	54
2007	8	18	13	16	30	38.07	-113.31	9	3.65	65	75	-75	199	21	-134	355	57	143	28	241	14
2007	9	1	18	32	2	41.64	-112.33	9	3.66	155	85	175	245	85	5	200	0	110	7	290	83
2007	9	8	7	15	40	33.67	-108.86	9	3.58	255	80	70	139	22	153	2	32	142	51	259	20
2007	9	24	6	20	54	45.1	-123.03	20	3.65	305	90	45	215	45	180	70	30	180	30	305	45
2007	10	31	3	4	54	37.43	-121.77	18	5.48	235	90	-10	325	80	-180	190	7	280	7	55	80
2007	11	3	15	35	32	66.32	-135.43	6	4.57	333	71	159	70	70	20	22	1	291	28	113	62
2007	11	3	19	55	5	66.05	-142.17	13	3.9	330	90	-160	240	70	0	197	14	103	14	330	70
2007	11	5	21	48	0	39.36	-111.64	15	3.76	23	67	-101	230	25	-65	273	66	121	22	27	10
2007	11	28	12	58	18	66.19	-135.45	22	4.04	25	70	-45	134	48	-153	340	45	84	13	186	42
2007	11	29	22	27	44	66.38	-142.29	13	4.64	70	80	-35	167	56	-168	23	31	123	16	236	54
2008	1	3	13	53	10	66.32	-142.55	10	3.84	50	80	15	317	75	170	183	3	274	18	83	72
2008	1	17	19	46	45	67.93	-136.28	18	4.92	155	76	159	250	70	15	203	4	111	24	302	65
2008	1	30	10	7	7	62.43	-137.05	12	4.29	302	56	113	85	40	60	16	9	263	69	109	19
2008	2	21	14	16	5	41.08	-114.77	11	5.91	210	50	-90	30	40	-90	120	85	300	5	30	0
2008	2	21	14	34	55	41.12	-114.89	11	4.29	40	60	-65	177	38	-126	356	65	112	12	207	21
2008	2	21	15	34	25	41.13	-114.91	10	3.69	187	51	-98	20	40	-80	53	82	283	5	192	6
2008	2	21	16	20	2	41.21	-114.86	11	3.89	225	55	-55	354	48	-129	194	62	291	4	23	28
2008	2	21	23	57	52	41.05	-114.92	9	4.61	20	68	-118	255	35	-40	251	57	130	19	31	26
2008	2	22	1	50	6	41.02	-114.93	11	3.86	230	55	-60	5	45	-126	197	65	299	6	32	24
2008	2	22	23	27	46	41.04	-114.85	12	4.32	38	50	-94	225	40	-85	279	84	131	5	41	3
2008	2	27	7	59	39	41.12	-114.67	11	4.12	90	85	10	359	80	175	224	3	315	11	116	79
2008	2	28	15	10	39	41.04	-114.9	10	3.98	22	61	-118	250	40	-50	245	63	132	11	37	24
2008	3	11	19	42	25	69.82	-146.66	18	4.26	269	76	154	5	65	15	319	8	225	28	63	61
2008	3	15	16	22	35	41.09	-114.92	10	3.57	232	45	-85	45	45	-95	227	86	319	0	49	4
2008	3	25	11	59	38	44.7	-110.05	12	4.21	111	64	-146	5	60	-30	330	41	237	3	144	49
2008	3	27	1	7	14	36.5	-113.64	10	3.72	220	70	-50	332	44	-150	173	49	282	15	24	37
2008	4	1	13	16	17	41.22	-114.82	12	4.12	185	79	-139	85	50	-15	53	36	309	18	198	48
2008	4	7	9	51	13	28.92	-98.09	4	3.86	239	46	-80	45	45	-100	229	83	322	0	52	7
2008	4	18	9	37	0	38.45	-87.89	14	5.23	205	90	175	295	85	0	250	4	160	4	25	85
2008	4	18	15	14	16	38.48	-87.89	14	4.61	135	90	-10	225	80	-180	90	7	180	7	315	80
2008	4	21	5	38	30	38.47	-87.82	15	4	300	85	5	210	85	175	75	0	165	7	345	83
2008	4	22	20	40	9	41.22	-114.81	11	3.83	186	66	-108	45	30	-55	65	64	290	19	194	17
2008	4	24	22	47	4	39.53	-119.93	7	3.73	146	76	164	240	75	15	193	0	103	21	284	69
2008	4	24	22	55	48	39.55	-119.89	8	4.27	245	85	30	152	60	174	15	17	113	24	254	60
2008	4	25	17	31	0	38.45	-87.87	13	3.72	204	85	170	295	80	5	250	4	159	11	358	79
2008	4	26	6	40	10	39.52	-119.93	8	4.89	240	80	15	147	75	170	13	3	104	18	273	72
2008	4	28	11	33	18	39.57	-119.91	5	4.04	315	90	175	45	85	0	0	4	270	4	135	85
2008	5	5	11	25	44	38.48	-90.41	19	2.75	359	64	146	105	60	30	53	3	320	41	146	49
2008	5	8	5	55	2	39.54	-119.92	10	3.59	25	85	-25	117	65	-174	338	21	74	14	194	65
2008	5	17	9	20	2	66.51	-141.99	15	4.44	40	70	-25	139	67	-158	359	32	90	2	184	58
2008	5	18	22	19	55	46.17	-119.55	21	3.27	308	62	139	60	55	35	6	4	271	48	99	42
2008	5	23	11	42	14	65.21	-133.94	14	3.92	125	90	-175	35	85	0	350	4	260	4	125	85
2008	6	4	14	2	42	36.51	-106.37	15	3.65	330	81	-150	235	60	-10	197	27	99	14	344	59
2008	6	5	7	13	15	38.45	-87.87	17	3.37	125	90	-20	215	70	-180	78	14	172	14	305	70
2008	6	8	17	53	41	39.55	-119.91	4	3.59	132	80	-170	40	80	-10	356	14	266	0	175	76
2008	6	8	17	55	19	39.55	-119.92	3	3.76	210	55	-45	330	55	-135	180	55	270	0	0	35
2008	6	13	18	31	4	40.45	-119.58	12	3.74	333	71	159	70	70	20	22	1	291	28	113	62
2008	7	1	2	48	42	58.69	-137.46	17	4.24	118	70	105	260	25	55	196	23	51	62	292	14
2008	7	14	15	55	57	63.6	-123.73	11	4.15	325	55	75	170	38	110	66	9	191	75	334	12
2008	7	14	18	45	55	45.13	-120.95	18	3.84	70	90	-15	160	75	-180	24	11	116	11	250	75
2008	7	16	10	12	1	64.59	-149.52	23	3.93	35	60	50	274	48	138	152	7	252	55	58	34
2008	7	22	9	32	51	42.9	-111.3	6	3.34	314	76	154	50	65	15	4	8	270	28	108	61
2008	7	29	18	42	15	33.96	-117.77	17	5.34	289	58	138	45	55	40	348	2	255	51	79	39
2008	7	30	14	55	57	66.06	-142.85	9	3.67	145	70	-142	40	55	-25	8	41	270	9	169	48
2008	7	31	5	2	43	48.15	-122.75	62	3.84	350	85	-70	93	21	-166	281	46	62	37	168	20
2008	8	3	9	44	28	58.78	-137.73	15	4.39	115	65	60	349	38	137	226	15	342	59	129	27
2008	8	5	9	58	47	58.76	-137.41	13	3.82	125	70	65	359	32	139	234	21	1	58	134	23
2008	8	5	19	48	10	61.45	-141.52	10	3.9	120	70	142	225	55	25	175	9	77	41	276	48
2008	8	30	22	6	15	41.68	-111.13	10	3.29	10	60	-125	245	45	-45	229	59	125	8	30	30
2008	9	20	5	16	11	63.6	-129.16	12	5.15	250	75	20	155	71	164	22	3	113	25	285	65
2008	9	24	12	19	52	63.41	-150.07	9	4.13	210	55	45	90	55	135	330	0	60	55	240	35
2008	9	25	19	34	7	63.83	-148.76	15	3.95	70	65	85	262	25	101	164	20	330	70	72	5
2008	10	8	9	53	1	60.7	-143.62	17	5.19	299	66	-97	135	25	-75	195	68	34	21	301	6
2008	10	14	3	7	28	35.76	-100.7	11	3.72	276	64	-106	130	30	-60	157	67	18	18	283	14
2008	10	18	2	27	38	36.14	-114.58	7	3.41	205	81	150	300	60	10	256	14	158	27	11	59
2008	10	28	14	30	12	66.38	-157.76	16	4.71	345	75	-25	82	66	-164	302	28	35	6	136	61
2008	11	3	13	14	13	42.78	-105.12	18	3.54	60	73	-121	305	35	-30	294	51	174	22	70	30
2008	11	4	15	46	34	66.46	-157.96	10	4.15	345	80	30	249	61	168	114	13	211	28	2	59
