%YEAR	MON	DAY	HOUR	MIN	SEC	LAT	LON	DEP	MW	Stk1	Dip1	Rake1	Stk2	Dip2	Rake2	Ptr	Ppl	Ttr	Tpl	Ntr	Npl
2014	2	9	11	5	55	64.46	-152.74	13	3.6	290	76	159	25	70	15	338	4	246	24	77	65
2014	2	10	2	44	47	67.57	-146.99	15	3.92	40	90	-20	130	70	-180	353	14	87	14	220	70
2014	2	10	23	37	38	35.83	-96.92	4	3.63	120	90	-5	210	85	-180	75	4	165	4	300	85
2014	2	15	3	23	38	33.81	-82.06	5	4.11	202	66	141	310	55	30	258	7	162	44	355	45
2014	2	16	20	23	35	33.79	-82.06	6	3.02	160	85	-50	256	40	-172	105	37	219	29	336	40
2014	2	17	4	54	59	35.78	-97.47	3	3.71	33	81	-160	300	70	-10	258	21	165	7	57	68
2014	2	23	9	15	41	36.04	-97.33	3	3.45	220	90	-170	130	80	0	85	7	355	7	220	80
2014	2	25	20	24	38	60.96	-138.27	16	4.04	116	65	92	290	25	85	204	20	30	70	295	2
2014	3	2	17	30	16	25.52	-99.59	9	4.04	170	60	-65	307	38	-126	126	65	242	12	337	21
2014	3	5	3	13	19	62.08	-149.46	52	4.34	200	65	-75	348	29	-119	137	67	279	19	14	14
2014	3	5	14	17	6	35.64	-97.38	4	3.35	195	81	-150	100	60	-10	62	27	324	14	209	59
2014	3	5	14	40	32	25.5	-99.59	12	3.94	175	65	-55	296	42	-141	131	55	240	13	339	31
2014	3	9	16	11	23	61.05	-150.73	58	3.94	190	75	-80	336	18	-123	114	59	272	29	7	10
2014	3	11	12	55	27	35.9	-97.27	4	3.59	315	75	20	220	71	164	87	3	178	25	350	65
2014	3	12	8	43	35	59.28	-153.16	85	4.68	65	75	45	320	47	159	187	17	293	42	80	43
2014	3	14	16	3	51	40.56	-111.27	12	3.36	348	69	-103	200	25	-60	236	64	88	22	352	12
2014	3	16	8	46	20	37.2	-97.88	6	3.77	95	90	-15	185	75	-180	49	11	141	11	275	75
2014	3	18	23	41	58	25.4	-99.49	9	4.06	337	56	-83	145	35	-100	272	78	62	10	153	6
2014	3	19	20	15	32	35.97	-96.93	3	3.45	25	90	-175	295	85	0	250	4	160	4	25	85
2014	3	22	3	5	59	35.83	-97.25	4	3.81	115	85	-15	206	75	-175	70	14	162	7	277	74
2014	3	25	14	1	19	35.74	-97.56	8	3	41	85	-170	310	80	-5	266	11	175	4	67	79
2014	3	25	16	55	35	44.66	-114.31	11	3.74	355	90	-40	85	50	-180	302	27	48	27	175	50
2014	3	25	22	26	19	66.27	-149.84	14	3.76	298	80	170	30	80	10	344	0	254	14	75	76
2014	3	30	1	32	54	62.22	-151.23	88	4.95	351	85	120	90	30	10	57	33	290	42	168	29
2014	3	30	3	8	31	35.5	-97.22	5	3.42	145	90	-5	235	85	-180	100	4	190	4	325	85
2014	3	30	6	51	56	36.14	-97.59	4	4.23	44	85	170	135	80	5	90	4	359	11	198	79
2014	3	30	8	7	5	36.14	-97.62	3	3.26	130	75	-25	227	66	-164	87	28	180	6	281	61
2014	3	30	8	10	31	36.13	-97.64	3	3.31	130	80	-30	226	61	-168	84	28	181	13	293	59
2014	3	30	8	42	36	36.14	-97.62	3	3.87	310	90	-10	40	80	-180	265	7	355	7	130	80
2014	3	30	12	34	39	44.78	-110.68	10	4.86	257	86	150	350	60	5	308	17	210	24	70	60
2014	3	30	14	9	59	36.13	-97.65	3	4.04	310	80	-20	44	70	-169	265	21	358	7	104	68
2014	3	31	16	30	27	62.31	-124.49	6	4.22	310	55	75	155	38	110	51	9	176	75	319	12
2014	4	4	18	54	18	35.89	-97.28	3	3.11	155	90	-5	245	85	-180	110	4	200	4	335	85
2014	4	5	12	42	17	36.13	-97.63	4	3.77	130	90	5	40	85	180	265	4	355	4	130	85
2014	4	6	14	58	54	35.92	-97.26	4	3.7	140	90	-10	230	80	-180	95	7	185	7	320	80
2014	4	7	3	25	35	36.82	-98.23	3	3.32	263	56	-97	95	35	-80	148	78	358	10	267	6
2014	4	7	16	3	3	35.88	-97.19	4	4.16	150	90	-5	240	85	-180	105	4	195	4	330	85
2014	4	10	7	33	57	35.79	-97.47	5	4	300	70	-25	39	67	-158	259	32	350	2	84	58
2014	4	10	8	19	44	35.78	-97.47	5	3.48	305	90	-45	35	45	-180	250	30	360	30	125	45
2014	4	10	12	21	34	44.63	-114.29	12	3.94	350	70	-30	91	62	-157	308	35	42	5	139	54
2014	4	12	5	32	52	36.26	-97.24	3	3.77	227	74	-143	125	55	-20	91	37	352	12	247	50
2014	4	13	0	4	41	44.64	-114.25	13	4.75	170	85	-30	263	60	-174	122	24	220	17	341	60
2014	4	14	20	16	47	44.71	-114.22	9	4.37	296	52	-117	155	45	-60	144	69	44	4	313	21
2014	4	16	20	24	24	62.89	-149.94	86	4.94	100	85	25	8	65	174	231	14	327	21	111	65
2014	4	18	23	4	6	63.41	-144.97	14	3.98	270	55	60	135	45	126	21	6	123	65	288	24
2014	4	19	10	43	10	36.27	-97.25	3	3.77	224	76	-164	130	75	-15	87	21	357	0	266	69
2014	4	20	19	7	13	35.77	-97.5	7	3.67	105	70	-25	204	67	-158	64	32	155	2	249	58
2014	4	23	7	57	40	62.83	-150.56	102	4	160	60	40	47	56	143	283	2	15	48	191	42
2014	4	26	0	12	9	38.57	-118.44	8	3.79	60	70	-30	161	62	-157	18	35	112	5	209	54
2014	4	27	12	46	55	63.81	-149.17	126	3.96	306	54	110	95	40	65	23	7	268	72	115	16
2014	5	1	10	4	8	35.82	-96.94	3	3.26	201	85	-170	110	80	-5	66	11	335	4	227	79
2014	5	2	19	44	20	35.59	-97.4	5	3.23	197	80	-170	105	80	-10	61	14	331	0	240	76
2014	5	3	8	34	7	44.6	-114.32	13	3.66	85	76	-159	350	70	-15	309	24	217	4	118	65
2014	5	5	4	59	44	60.66	-149.55	46	4.51	60	55	-65	201	42	-121	25	69	132	7	225	20
2014	5	8	20	40	32	36.57	-97.62	3	3.49	10	90	-20	100	70	-180	323	14	57	14	190	70
2014	5	9	18	9	0	59.71	-136.52	18	3.86	265	75	20	170	71	164	37	3	128	25	300	65
2014	5	9	18	52	47	36.56	-97.59	4	3.85	0	90	-10	90	80	-180	315	7	45	7	180	80
2014	5	10	14	16	10	60.01	-152.13	88	5.64	102	48	109	255	45	70	179	2	82	76	269	14
2014	5	15	20	23	21	35.79	-97.48	7	3.37	208	80	170	300	80	10	254	0	164	14	345	76
2014	5	16	0	49	0	59.76	-141.35	12	3.65	262	45	95	75	45	85	349	0	257	86	79	4
2014	5	20	7	30	19	35.53	-97.22	4	3.37	252	69	-131	140	45	-30	118	49	11	14	269	38
2014	5	22	1	47	16	37.53	-78.07	16	3.12	199	52	117	340	45	60	271	4	171	69	2	21
2014	5	22	2	46	10	35.79	-97.48	7	3.63	105	75	-25	202	66	-164	62	28	155	6	256	61
2014	5	30	21	42	2	36.59	-98.32	6	3.39	48	80	-165	315	75	-10	272	18	181	4	79	72
2014	5	31	10	18	6	35.49	-97.25	5	3.73	241	85	-165	150	75	-5	107	14	15	7	259	74
2014	5	31	22	24	57	44.8	-110.77	7	3.29	325	80	25	230	65	169	96	10	190	25	345	63
2014	6	1	3	35	21	40.46	-104.65	5	3.17	355	50	-75	152	42	-107	326	78	74	4	165	11
2014	6	1	19	54	18	35.5	-97.24	4	3.48	245	90	-160	155	70	0	112	14	18	14	245	70
2014	6	3	9	33	27	44.81	-110.76	17	3.8	195	70	30	94	62	157	323	5	57	35	226	54
2014	6	4	11	58	58	59	-136.66	15	5.57	350	55	120	125	45	55	59	5	318	65	151	24
2014	6	4	21	19	24	35.57	-92.27	2	3.81	182	80	165	275	75	10	229	4	138	18	331	72
2014	6	5	5	37	59	61.16	-140.25	14	5.05	70	80	25	335	65	169	201	10	295	25	90	63
2014	6	5	5	44	27	61.15	-140.25	14	5.06	70	80	20	336	70	169	202	7	295	21	96	68
2014	6	5	14	41	14	62.85	-149.39	89	3.94	85	90	-10	175	80	-180	40	7	130	7	265	80
2014	6	5	22	52	39	61.51	-140.67	12	3.73	110	75	60	356	33	152	223	24	346	51	118	29
2014	6	12	4	34	5	40.89	-111.68	11	3.31	340	60	-85	150	30	-99	263	74	66	15	157	4
2014	6	16	10	31	7	35.59	-97.41	4	3.47	201	85	-165	110	75	-5	67	14	335	7	219	74
2014	6	16	10	47	35	35.58	-97.33	8	4.28	13	85	155	105	65	5	62	14	326	21	183	65
2014	6	17	9	3	49	62.76	-150.73	98	4.45	341	64	134	95	50	35	41	8	301	50	138	39
2014	6	17	14	37	24	63.5	-148.13	14	3.94	70	75	75	296	21	134	172	28	320	57	74	14
2014	6	18	10	53	2	35.61	-97.37	3	4.04	202	85	-155	110	65	-5	69	21	333	14	212	65
2014	6	18	14	8	33	35.98	-97.18	5	3.24	356	72	154	95	65	20	47	5	314	31	144	58
2014	6	20	1	6	22	63.13	-149.3	86	4.23	110	75	25	13	66	164	240	6	333	28	139	61
2014	6	20	14	46	18	35.99	-97.18	6	3.34	354	79	134	95	45	15	52	22	303	39	164	43
2014	6	20	23	10	56	36.68	-97.82	3	3.93	71	57	-103	275	35	-70	305	74	171	11	78	11
2014	6	23	13	44	59	36.83	-97.85	5	3.36	25	90	-175	295	85	0	250	4	160	4	25	85
2014	6	26	5	26	45	35.8	-97.48	5	3.54	24	81	-155	290	65	-10	250	24	155	11	43	63
2014	6	26	5	38	57	35.79	-97.49	5	3.49	31	85	-165	300	75	-5	257	14	165	7	49	74
2014	6	26	6	13	30	35.79	-97.51	4	3.25	285	85	20	193	70	175	57	10	151	18	298	69
2014	6	26	14	2	50	36.83	-97.7	3	3.23	225	90	180	315	90	0	90	0	0	0	0	90
2014	6	26	23	28	3	35.89	-97.26	3	3.61	200	90	-170	110	80	0	65	7	335	7	200	80
2014	6	27	14	14	3	61.38	-150.81	92	4	315	73	148	55	60	20	7	8	271	34	109	54
2014	6	27	15	9	2	35.91	-97.3	7	3.65	189	76	-164	95	75	-15	52	21	322	0	231	69
2014	6	27	22	35	5	36.72	-97.81	2	3.73	110	60	-60	241	41	-131	69	62	179	10	274	26
2014	6	29	0	56	22	39.45	-111.44	5	4.02	200	50	-80	5	41	-102	163	81	283	5	14	8
2014	6	29	4	59	33	32.61	-109.15	12	5.19	164	60	-145	55	60	-35	20	45	290	0	199	45
2014	6	29	6	58	44	63.49	-148.56	17	4.16	215	55	60	80	45	126	326	6	68	65	233	24
2014	7	9	2	10	4	37.07	-97.79	2	3.03	205	85	65	104	25	168	316	35	90	44	207	25
2014	7	12	2	48	58	32.55	-109.1	13	3.54	306	85	-170	215	80	-5	171	11	80	4	332	79
2014	7	12	11	15	33	61.17	-140.16	21	4.67	70	80	15	337	75	170	203	3	294	18	103	72
2014	7	12	17	11	47	35.87	-97.27	4	4.05	130	90	-10	220	80	-180	85	7	175	7	310	80
2014	7	14	7	15	51	36.7	-97.86	3	3.94	100	60	-70	244	36	-121	51	68	176	13	270	17
2014	7	14	16	50	14	35.87	-97.31	4	3.26	233	80	170	325	80	10	279	0	189	14	10	76
2014	7	15	7	19	17	35.53	-97.14	4	3.69	20	85	175	110	85	5	65	0	335	7	155	83
2014	7	15	9	8	41	35.56	-97.12	3	3.81	98	50	-94	285	40	-85	339	84	191	5	101	3
2014	7	16	0	20	8	62.56	-127.71	9	4.29	343	69	-148	240	60	-25	204	38	110	5	13	52
2014	7	16	0	28	54	62.55	-127.8	7	4.46	353	77	-149	255	60	-15	218	31	121	11	13	57
2014	7	17	10	40	43	37.12	-97.79	3	3.17	248	50	-94	75	40	-85	129	84	341	5	251	3
2014	7	17	11	49	37	60.22	-140.55	12	5.85	190	90	-25	280	65	-180	142	17	238	17	10	65
2014	7	20	2	15	45	60.3	-140.44	13	4.72	0	80	25	265	65	169	131	10	225	25	20	63
2014	7	23	2	2	26	35.9	-97.31	8	3.27	100	85	-15	191	75	-175	55	14	147	7	262	74
2014	7	23	14	3	47	35.88	-97.31	5	2.92	105	90	-20	195	70	-180	58	14	152	14	285	70
2014	7	23	23	55	59	46.26	-111.39	4	3.43	337	50	-113	190	45	-65	181	72	83	3	352	17
2014	7	25	4	56	52	36.64	-98.24	5	3.32	330	85	15	239	75	175	103	7	195	14	348	74
2014	7	25	10	54	49	58.36	-137.13	17	5.85	316	76	164	50	75	15	3	0	273	21	94	69
2014	7	25	18	28	53	65.65	-144.82	17	3.43	200	90	-5	290	85	-180	155	4	245	4	20	85
2014	7	26	20	53	8	58.27	-137.16	16	3.71	60	70	25	321	67	158	190	2	281	32	96	58
2014	7	28	11	4	34	47.46	-122.76	22	3.26	322	66	141	70	55	30	18	7	282	44	115	45
2014	7	28	12	51	28	45.34	-112.61	10	3.77	175	85	15	84	75	175	308	7	40	14	193	74
2014	7	29	2	46	36	36.73	-97.99	3	4.26	305	65	-40	55	54	-149	265	45	2	6	98	44
2014	7	30	16	21	32	35.73	-97.4	4	3.31	150	90	-25	240	65	-180	102	17	198	17	330	65
2014	8	1	14	19	21	36.74	-98.02	3	3.08	46	64	-146	300	60	-30	265	41	172	3	79	49
2014	8	1	14	44	27	36.73	-98.03	3	3.15	125	80	-15	218	75	-170	81	18	172	3	272	72
2014	8	4	15	30	42	35.83	-97.42	3	3.36	300	90	-25	30	65	-180	252	17	348	17	120	65
2014	8	4	18	23	1	35.61	-97.39	4	3.21	192	71	-159	95	70	-20	54	28	323	1	232	62
2014	8	8	20	21	57	35.82	-97.41	4	3.34	305	85	15	214	75	175	78	7	170	14	323	74
2014	8	9	15	28	54	52.17	-115.17	18	3.81	13	69	-148	270	60	-25	234	38	140	5	43	52
2014	8	10	10	40	2	37.31	-115.08	10	3.65	354	85	170	85	80	5	40	4	309	11	148	79
2014	8	11	8	46	55	64.56	-152.5	10	3.95	112	81	160	205	70	10	160	7	67	21	268	68
2014	8	17	6	18	43	36.84	-97.84	4	3.47	205	90	180	295	90	0	70	0	340	0	0	90
2014	8	17	6	31	10	36.84	-97.83	3	3.26	205	90	180	295	90	0	70	0	340	0	0	90
2014	8	17	15	59	5	36.83	-97.85	3	3.29	31	85	-170	300	80	-5	256	11	165	4	57	79
2014	8	18	1	25	57	36.83	-98.25	3	3.47	290	65	-60	56	38	-137	243	59	359	15	96	27
2014	8	18	2	50	9	35.37	-96.49	15	3.53	155	65	80	358	27	110	252	19	45	68	159	9
2014	8	19	4	0	34	41.87	-119.64	13	3.6	40	85	-50	136	40	-172	345	37	99	29	216	40
2014	8	19	10	11	22	60.03	-153.09	136	4.07	306	60	145	55	60	35	0	0	270	45	91	45
2014	8	19	12	41	35	35.82	-97.47	5	4.32	33	81	-160	300	70	-10	258	21	165	7	57	68
2014	8	23	11	6	34	35.84	-97.43	3	3.03	205	85	-175	115	85	-5	70	7	340	0	250	83
2014	8	26	16	5	9	35.84	-97.47	3	3.07	25	76	-159	290	70	-15	249	24	157	4	58	65
2014	8	29	8	46	58	41.87	-119.63	11	3.72	35	75	-50	142	42	-157	345	45	96	20	203	38
2014	8	29	18	37	29	65.64	-122.66	16	4.56	305	90	-105	215	15	0	200	43	50	43	305	15
2014	8	30	20	9	14	43.76	-110.89	11	3.75	342	51	-98	175	40	-80	208	82	78	5	347	6
2014	8	31	3	6	57	65.16	-148.98	17	5.03	299	76	-164	205	75	-15	162	21	72	0	341	69
2014	8	31	7	20	19	36.59	-97.99	3	3.36	120	70	-25	219	67	-158	79	32	170	2	264	58
2014	8	31	8	10	54	65.14	-148.98	18	3.7	304	76	-164	210	75	-15	167	21	77	0	346	69
2014	8	31	12	24	58	65.15	-149.05	18	4.08	200	85	-25	292	65	-174	153	21	249	14	9	65
2014	8	31	21	58	19	65.2	-149.29	17	3.93	195	75	-30	293	61	-163	151	32	247	9	351	57
2014	9	4	23	32	5	36.2	-97.42	3	3.25	210	85	175	300	85	5	255	0	165	7	345	83
2014	9	6	18	53	59	36.62	-97.69	3	3.46	236	85	-170	145	80	-5	101	11	10	4	262	79
2014	9	8	12	56	52	37.27	-97.6	7	3.39	355	65	-30	99	63	-152	316	38	47	1	139	52
2014	9	8	16	21	34	36.81	-97.72	3	3.7	213	48	-109	60	45	-70	53	76	316	2	226	14
2014	9	9	9	6	46	36.2	-97.42	3	3.37	215	85	175	305	85	5	260	0	170	7	350	83
2014	9	10	16	1	48	62.59	-152.08	13	4.03	329	67	110	105	30	50	44	20	271	62	141	19
2014	9	12	14	41	56	36.17	-97.27	3	3.67	32	71	-159	295	70	-20	254	28	163	1	72	62
2014	9	14	12	1	2	36.61	-97.95	3	3.43	125	75	-25	222	66	-164	82	28	175	6	276	61
2014	9	15	4	20	35	41.87	-119.63	10	3.45	30	75	-50	137	42	-157	340	45	91	20	198	38
2014	9	15	20	8	3	35.82	-97.43	4	3.86	300	75	-25	37	66	-164	257	28	350	6	91	61
2014	9	17	10	6	12	47.57	-123.01	22	3.69	235	70	35	132	57	156	1	8	97	39	261	50
2014	9	17	13	21	54	36.18	-97.25	3	3.34	34	72	-154	295	65	-20	256	31	163	5	66	58
2014	9	18	7	12	40	36.2	-97.27	3	3.67	300	90	-10	30	80	-180	255	7	345	7	120	80
2014	9	19	1	31	53	36.58	-97.6	3	3.71	335	80	-30	71	61	-168	289	28	26	13	138	59
2014	9	19	17	23	18	35.82	-97.42	4	3.55	40	76	-159	305	70	-15	264	24	172	4	73	65
2014	9	24	5	49	33	36.39	-96.78	3	3.47	355	73	148	95	60	20	47	8	311	34	149	54
2014	9	24	7	30	56	61.37	-146.8	44	4.41	201	60	-87	15	30	-95	119	75	289	15	19	2
2014	9	25	17	51	17	61.95	-151.78	104	6.22	310	76	159	45	70	15	358	4	266	24	97	65
2014	9	27	12	14	49	35.84	-97.44	4	3.36	44	72	-154	305	65	-20	266	31	173	5	76	58
2014	9	30	3	1	26	36.23	-97.56	3	3.96	211	85	-170	120	80	-5	76	11	345	4	237	79
2014	9	30	6	6	1	36.21	-97.55	3	3.2	26	85	-170	295	80	-5	251	11	160	4	52	79
2014	9	30	14	55	4	37.24	-97.97	3	3.63	255	45	-90	75	45	-90	0	90	345	0	75	0
2014	10	1	12	46	9	41.83	-119.71	11	3.9	35	80	-45	135	46	-166	344	38	92	22	205	44
2014	10	2	18	1	24	37.24	-97.9	3	4.31	72	45	-85	245	45	-95	67	86	159	0	249	4
2014	10	2	21	33	15	63.04	-150.81	118	4.29	50	70	85	244	21	103	144	25	312	65	52	5
2014	10	7	16	51	13	35.95	-96.78	3	3.91	100	90	-5	190	85	-180	55	4	145	4	280	85
2014	10	8	1	48	28	35.76	-97.09	3	3.2	200	90	-175	110	85	0	65	4	335	4	200	85
2014	10	8	19	44	13	36.17	-97.28	3	3.28	20	81	-150	285	60	-10	247	27	149	14	34	59
2014	10	10	13	51	21	35.96	-96.77	4	4.16	190	90	180	280	90	0	55	0	325	0	0	90
2014	10	10	16	18	24	35.78	-97.09	3	3.2	285	80	-20	19	70	-169	240	21	333	7	79	68
2014	10	13	12	24	54	35.76	-97.5	3	3.22	125	70	-30	226	62	-157	83	35	177	5	274	54
2014	10	18	5	32	5	60.14	-150.97	66	4.47	145	90	-145	55	55	0	16	24	274	24	145	55
2014	10	21	0	36	58	65.15	-149	15	4.65	292	80	-170	200	80	-10	156	14	66	0	335	76
2014	10	23	16	30	24	65.15	-149.02	16	4.81	297	71	-159	200	70	-20	159	28	68	1	337	62
2014	10	23	17	25	23	65.17	-149.05	14	3.39	290	76	-159	195	70	-15	154	24	62	4	323	65
2014	10	29	16	53	31	35.73	-97.53	5	3.13	250	90	-175	160	85	0	115	4	25	4	250	85
2014	10	30	15	16	33	41.91	-119.62	11	3.85	25	80	-55	129	36	-163	329	44	88	27	198	34
2014	10	30	18	57	2	36.05	-97.26	3	3.31	235	85	175	325	85	5	280	0	190	7	10	83
2014	10	31	6	23	0	36.52	-98.98	4	3.37	240	60	-109	95	35	-60	110	69	344	13	250	17
2014	11	1	6	3	16	36.06	-97.25	2	2.99	150	90	-10	240	80	-180	105	7	195	7	330	80
2014	11	4	10	47	58	41.88	-119.61	9	3.79	25	75	-65	144	29	-148	325	53	96	26	198	24
2014	11	5	7	23	4	41.91	-119.62	10	4.55	35	65	-60	161	38	-137	348	59	104	15	201	27
2014	11	5	10	23	6	41.92	-119.61	10	3.48	35	85	-60	134	30	-170	334	42	100	33	212	30
2014	11	5	15	18	26	41.79	-119.6	9	3.91	25	75	-65	144	29	-148	325	53	96	26	198	24
2014	11	5	16	3	52	59.16	-136.23	15	4.62	146	54	110	295	40	65	223	7	108	72	315	16
2014	11	5	20	6	13	41.88	-119.61	14	3.5	282	58	116	60	40	55	354	10	242	66	88	22
2014	11	5	23	1	11	41.87	-119.61	12	3.46	30	80	-50	132	41	-165	337	41	90	24	202	39
2014	11	5	23	45	32	59.16	-136.25	13	3.66	181	76	164	275	75	15	228	0	138	21	319	69
2014	11	6	1	17	10	41.87	-119.64	9	3.87	30	70	-75	172	25	-125	323	62	108	24	205	14
2014	11	6	1	21	11	41.88	-119.63	10	3.71	24	65	-92	210	25	-85	290	70	116	20	25	2
2014	11	6	2	12	47	41.88	-119.64	9	3.45	20	70	-90	200	20	-90	290	65	110	25	20	0
2014	11	6	7	12	1	41.89	-119.65	8	3.63	13	74	-102	230	20	-55	267	60	113	28	17	11
2014	11	6	8	0	0	41.89	-119.63	12	3.81	25	80	-60	132	31	-161	326	47	91	29	199	29
2014	11	6	8	34	46	41.9	-119.66	12	4.33	352	71	-159	255	70	-20	214	28	123	1	32	62
2014	11	6	12	15	34	41.79	-119.64	11	3.59	159	81	-155	65	65	-10	25	24	290	11	178	63
2014	11	6	15	58	2	42	-119.81	12	4.18	352	71	-159	255	70	-20	214	28	123	1	32	62
2014	11	7	1	51	11	41.95	-119.61	13	3.5	230	75	-30	328	61	-163	186	32	282	9	26	57
2014	11	7	6	58	40	41.91	-119.6	9	3.97	25	80	-70	141	22	-153	318	51	98	32	201	20
2014	11	7	8	5	54	41.88	-119.63	10	4.54	25	65	-75	173	29	-119	322	67	104	19	199	14
2014	11	7	19	19	55	41.89	-119.62	10	3.54	175	68	-118	50	35	-40	46	57	285	19	186	26
2014	11	9	20	10	19	36.03	-97.09	4	3.81	39	78	-144	300	55	-15	265	34	165	15	55	52
2014	11	10	17	17	42	61.52	-140.68	14	3.66	339	72	-154	240	65	-20	201	31	108	5	11	58
2014	11	10	21	44	57	61.24	-147.04	17	3.59	80	80	75	317	18	146	183	33	332	53	83	15
2014	11	12	14	42	55	41.88	-119.65	8	4.14	20	65	-90	200	25	-90	290	70	110	20	20	0
2014	11	12	21	40	0	37.27	-97.62	8	4.78	295	80	15	202	75	170	68	3	159	18	328	72
2014	11	13	1	28	31	35.34	-96.53	3	3.59	22	80	-170	290	80	-10	246	14	156	0	65	76
2014	11	13	6	36	7	41.9	-119.62	8	4.55	30	65	-70	169	32	-126	334	64	105	18	201	18
2014	11	15	6	58	48	48.46	-114.3	13	3.68	128	80	170	220	80	10	174	0	84	14	265	76
2014	11	17	8	16	12	41.9	-119.62	10	3.89	30	75	-60	144	33	-152	334	51	97	24	202	29
2014	11	17	23	4	58	41.92	-119.63	9	3.38	60	55	-45	180	55	-135	30	55	120	0	210	35
2014	11	19	8	44	44	61.8	-149.1	38	3.66	270	80	-50	12	41	-165	217	41	330	24	82	39
2014	11	20	10	25	31	32.95	-88.02	5	3.75	211	85	-170	120	80	-5	76	11	345	4	237	79
2014	11	21	17	20	8	41.87	-119.61	10	3.97	25	75	-60	139	33	-152	329	51	92	24	197	29
2014	11	22	6	41	11	41.85	-119.59	10	3.61	30	81	-95	240	10	-60	294	53	124	36	30	5
2014	11	24	6	36	8	36.33	-97.53	4	3.69	65	90	-175	335	85	0	290	4	200	4	65	85
2014	11	24	19	5	57	36.87	-98.33	3	3.67	246	52	-102	85	40	-75	106	79	344	6	253	10
2014	11	25	14	43	40	36.79	-97.72	8	3.66	110	85	30	17	60	174	240	17	338	24	119	60
2014	11	25	22	4	22	35.84	-97.43	5	3.34	280	60	-60	51	41	-131	239	62	349	10	84	26
2014	11	29	4	14	16	62.73	-150.48	106	4.95	352	66	141	100	55	30	48	7	312	44	145	45
2014	11	29	21	6	49	62.56	-148.11	74	4.65	220	73	-148	120	60	-20	84	34	348	8	246	54
2014	11	30	6	59	56	35.53	-96.76	9	3.51	225	90	-160	135	70	0	92	14	358	14	225	70
2014	11	30	10	24	44	36.58	-97.61	3	3.93	75	85	-175	345	85	-5	300	7	210	0	120	83
2014	11	30	12	18	58	35.69	-97.38	5	3.32	200	90	-170	110	80	0	65	7	335	7	200	80
2014	12	1	0	10	15	60.96	-146.77	24	3.73	190	75	-45	295	47	-159	142	42	248	17	355	43
2014	12	1	5	57	36	35.04	-111.72	11	4.53	55	70	-60	176	36	-144	3	55	123	19	224	28
2014	12	2	12	4	29	35.7	-97.37	4	3.41	110	80	-15	203	75	-170	66	18	157	3	257	72
2014	12	4	5	24	52	41.88	-119.64	10	4.12	35	65	-50	152	46	-144	353	52	97	11	195	36
2014	12	5	3	54	22	36.04	-97.09	4	3.67	300	85	10	209	80	175	74	3	165	11	326	79
2014	12	7	22	13	8	35.82	-97.45	4	3.6	47	80	-170	315	80	-10	271	14	181	0	90	76
2014	12	11	7	53	49	36.75	-98.04	3	3.63	44	72	-154	305	65	-20	266	31	173	5	76	58
2014	12	14	9	14	21	36.87	-98.16	4	3.84	275	65	-70	54	32	-126	219	64	350	18	86	18
2014	12	14	17	26	51	41.94	-119.64	8	3.84	25	80	-70	141	22	-153	318	51	98	32	201	20
2014	12	14	21	18	20	36.36	-96.78	3	3.87	320	75	-20	55	71	-164	277	25	8	3	105	65
2014	12	18	23	6	54	36.16	-97.47	3	3.41	250	85	-175	160	85	-5	115	7	25	0	295	83
2014	12	25	20	32	49	35.83	-97.42	4	3.52	48	66	-141	300	55	-30	268	44	172	7	75	45
2014	12	29	6	8	18	39.66	-111.97	3	3.8	174	46	-80	340	45	-100	164	83	257	0	347	7
2015	1	3	17	44	3	44.5	-114.14	13	4.86	350	65	-30	94	63	-152	311	38	42	1	134	52
2015	1	4	7	34	13	44.49	-114.12	14	3.8	150	75	-80	296	18	-123	74	59	232	29	327	10
2015	1	4	9	56	43	41.88	-119.62	9	4.11	25	75	-60	139	33	-152	329	51	92	24	197	29
2015	1	4	13	21	55	44.48	-114.19	10	3.73	120	55	-120	345	45	-55	332	65	231	5	139	24
2015	1	4	20	8	14	41.85	-119.62	9	3.75	174	64	-134	60	50	-35	34	50	294	8	197	39
2015	1	4	21	37	1	35.84	-97.44	4	3.59	32	71	-137	285	50	-25	256	43	154	13	51	44
2015	1	5	1	47	22	41.86	-119.62	11	3.6	181	79	-134	80	45	-15	52	39	303	22	191	43
2015	1	5	15	35	50	41.88	-119.64	12	3.63	177	71	-137	70	50	-25	41	43	299	13	196	44
2015	1	5	22	6	44	36.26	-97.26	4	3.61	290	90	35	200	55	180	59	24	161	24	290	55
2015	1	5	22	27	40	36.26	-97.28	3	3.71	105	85	-15	196	75	-175	60	14	152	7	267	74
2015	1	7	19	41	37	35.82	-97.43	4	3.71	25	73	-148	285	60	-20	249	34	153	8	51	54
2015	1	9	6	44	16	35.83	-97.43	4	3.53	57	62	-139	305	55	-35	274	48	179	4	86	42
2015	1	11	10	28	22	35.82	-97.42	3	3.37	105	80	-30	201	61	-168	59	28	156	13	268	59
2015	1	13	4	29	42	41.88	-119.62	10	3.98	25	75	-60	139	33	-152	329	51	92	24	197	29
2015	1	13	4	31	7	41.87	-119.64	10	3.57	65	55	-45	185	55	-135	35	55	125	0	215	35
2015	1	16	13	5	28	49.42	-66.79	19	3.65	335	60	70	191	36	121	79	13	204	68	345	17
2015	1	19	9	54	31	37.19	-97.89	10	3.57	300	80	25	205	65	169	71	10	165	25	320	63
