-121.67	47.67	148	0.05
-120.13	47.66	140	0.05
-122.38	47.45	15	0.05
-116.06	47.33	105	0.1
-149.5	66.4	168	0.05
-144.5	65.5	20	0.1
-165	65.2	90	0.1
-163	65.1	90	0.1
-156	64.7	110	0.1
-149	63.9	180	0.05
-146.5	63.5	180	0.1
-150	61.5	100	0.1
-145	63.2	160	0.1
-143	62.5	13	0.1
-138	59	7	0.1
-147.4	60.25	135	0.05
-147.6	59.8	127	0.1
-122.217	47.583	172	0.05
-131.89	52.51	85	0.05
-112.935	49.709	80	0.1
-128.711	48.442	19	0.2
-122.316	59.252	161	0.05
-122.928	59.619	57	0.2
-123.953	59.802	19	0.2
-121.628	59.235	111	0.05
-121.928	59.652	145	0.05
-124.359	59.927	6	0.05
-123.259	59.935	13	0.05
-126.873	48.698	14	0.05
-124.111	60.12	58	0.05
-131.67	52.39	21	0.05
-133.7	54.1	7	0.05
-138.5	61	40	0.05
-122.66	47.36	19	0.05
-149	65	157	0.3
-140.5	61.3	15	0.3
-153	65.5	166	0.3
-148	61.8	142	0.3
-147	65.5	10	0.3
-160	66	139	0.3
-147.5	64.5	1	0.2
-138	59.5	36	0.2
-141	60	179	0.2
-150.5	61	87	0.2
-153	63	136	0.2
-140.5	62	5	0.2
-148	63.5	179	0.1
-146.5	63.5	151	0.1
-147.5	68.5	152	0.1
-142.5	62.5	16	0.1
-150.5	62	95	0.1
-147	61.5	27	0.1
-153	59.5	149	0.1
-115.69	53.3	47	0.05
-114.3	47.8	5	0.05
-114.3	47.8	86	0.05
-115.25	52.21	84	0.05
-121.73	48.26	0	0.05
-149.96	65.39	43	0.05
-149.98	65.49	19	0.05
-150	65.49	161	0.05
-149.88	65.59	175	0.05
-151	62	21	0.05
-148.1	66.8	102	0.05
-141.33	59.77	173	0.05
-132.43	52.83	37	0.05
-132.09	53.84	17	0.05
-132.73	70.151	28	0.2
-132.839	69.883	36	0.2
-133.496	70.464	58	0.2
-133.873	69.829	55	0.2
-133.974	70.73	78	0.2
-134.313	70.017	70	0.3
-135.933	69.551	65	0.1
-139.743	69.756	75	0.2
-136.339	69.903	60	0.1
-136.304	69.278	76	0.1
-136.304	69.278	87	0.05
-131.048	69.59	43	0.05
-135.016	69.26	66	0.2
-135.311	68.669	54	0.2
-135.551	68.371	42	0.2
-118.96	59.12	140	0.05
-114.95	51.83	46	0.2
-115.69	53.3	36	0.2
-115.18	53.6	34	0.1
-115.33	55.99	8	0.2
-115.36	56.08	157	0.05
-119.15	58.46	160	0.1
-119.28	58.51	13	0.05
-119.46	58.55	137	0.1
-119.4	59.3	50	0.1
-118.62	59.02	63	0.05
-118.87	59.12	127	0.05
-114.831	54.987	37	0.1
-118.83	54.987	33	0.1
-112.203	49.809	63	0.1
-113.826	49.971	57	0.1
-118.639	54.744	41	0.05
-110.837	55.296	41	0.05
-112.078	49.879	63	0.05
-111.421	50.811	40	0.05
-112.737	50.72	55	0.05
-113.348	51.465	41	0.05
-110.331	50.774	80	0.05
-113.923	51.935	48	0.05
-117.602	54.914	27	0.05
-111.532	53.332	56	0.05
-111.079	54.449	52	0.05
-112.057	49.857	68	0.05
-110.838	53.783	56	0.05
-112.339	50.047	77	0.05
-113.343	55.969	50	0.05
-110.526	54.114	42	0.05
