-111.69	35.761	1.5766	125.9	0.3	0.082802	1.6893
-111.6	36.226	1.4884	123.77	0.3	0.058627	4.8474
-111.61	35.49	0.239	65.763	0.3	0.10073	0.2
-111.54	35.676	0.53881	21.374	0.3	0.1341	0.2
-111.37	36.2	0.4804	123.81	0.3	0.14251	0.2
-111.38	36.528	0.64627	125.01	0.3	0.080941	4.6254
-111.3	35.559	0.45912	58.155	0.3	0.10988	0.2
-111.38	35.645	0.22625	28.569	0.3	0.074822	0.2
-111.36	36.038	0.33635	111.1	0.3	0.14255	0.2
-111.08	36.674	0.49809	119.51	0.3	0.085244	4.3124
-110.67	37.296	0.47766	118.04	0.3	0.069213	0.2
-110.47	37.771	0.38623	115.58	0.3	0.091142	0.2
-111.09	35.575	0.57635	108.44	0.3	0.073061	0.2
-111.12	35.749	0.3005	99.902	0.3	0.053691	0.2
-111.1	36.117	0.29333	112.3	0.3	0.077714	0.2
-110.82	36.815	0.46765	111.37	0.3	0.06774	2.5343
-110.34	37.532	0.43063	106.27	0.3	0.050609	0.2
-110.35	38.048	0.29598	127.56	0.3	0.12044	0.2
-110.15	38.423	0.47948	125.08	0.3	0.074817	0.2
-110.17	38.975	0.72984	110.24	0.3	0.16003	0.2
-110.14	39.533	0.49321	109.63	0.3	0.15139	0.2
-110.14	39.973	0.37311	113.9	0.3	0.13158	0.2
-109.82	40.121	0.47473	110.2	0.3	0.14657	0.2
-110.84	35.961	0.32278	107.12	0.3	0.1128	0.2
-110.75	36.233	0.33314	112.84	0.3	0.071443	0.2
-110.22	37.067	0.48465	108.79	0.3	0.080715	0.2
-110.18	37.594	0.52177	93.426	0.3	0.09622	0.2
-110.04	38.008	0.42237	90.824	0.3	0.045775	0.2
-109.88	38.464	0.47286	120.86	0.3	0.046101	0.2
-109.95	38.862	0.53314	106.58	0.3	0.070708	0.2
-109.93	39.525	0.39288	120.4	0.3	0.10266	0.2
-109.94	40.055	0.30254	134.14	0.3	0.11468	0.2
-109.45	40.482	0.46697	116.28	0.3	0.099875	0.2
-109.08	41.679	0.5086	111.47	0.3	0.12445	0.2
-108.85	42.699	0.3818	113.96	0.3	0.099318	3.4339
-110.45	36.191	0.43461	112.62	0.3	0.063184	0.2
-109.97	36.739	0.50808	113.35	0.3	0.070232	0.2
-109.81	37.25	0.61761	113.98	0.3	0.05507	0.2
-109.68	37.632	0.58616	112.55	0.3	0.057253	0.2
-109.55	38.177	0.50006	119.19	0.3	0.13258	0.2
