-113.03	29.03	141	90	180	231	90	0	999	999	999	999	999	999
-112.41	37.271	0	45	-90	999	999	999	999	999	999	999	999	999
-110.74	38.081	310	45	-90	999	999	999	999	999	999	999	999	999
-66.57	47.01	343	30	68	188	62	102	999	999	999	999	999	999
-89.72	35.61	228	85	75	999	999	999	999	999	999	999	999	999
-66.97	47.01	212	47	93	28	43	87	999	999	999	999	999	999
-112.71	27.84	138	90	180	228	90	0	999	999	999	999	999	999
-66.41	46.87	324	47	42	202	61	129	999	999	999	999	999	999
-120.66	35.67	154	41	137	279	63	57	999	999	999	999	999	999
-66.44	47.24	190	44	121	329	53	63	999	999	999	999	999	999
-118.21	36.52	280	90	180	10	90	0	999	999	999	999	999	999
-118.22	36.7	288	90	180	18	90	0	999	999	999	999	999	999
-120.66	36.42	320	30	87	143	60	91	999	999	999	999	999	999
-110.56	38.102	330	45	-90	999	999	999	999	999	999	999	999	999
-70.4	44.49	355	48	103	156	44	76	76	2	333	80	999	999
-121.38	35.81	148	20	35	24	79	107	999	999	999	999	999	999
-84.16	35.55	264.6	83.59	7.69	90	53	-16	999	999	999	999	999	999
-120.41	36.24	10	31	142	134	72	65	999	999	999	999	999	999
-121.33	35.41	180	45	90	0	45	90	999	999	999	999	999	999
-121.19	35.87	172	45	90	352	45	90	999	999	999	999	999	999
-109.15	38.369	310	45	-90	999	999	999	999	999	999	999	999	999
-107.05	38.15	264	52	-103	999	999	999	999	999	999	999	999	999
-125.34	40.1	93	65	153	195	66	28	999	999	999	999	999	999
-74.26	43.94	170	70	115	296	32	41	241	21	114	58	341	23
-113.98	44.35	304	29	-103	138	62	-83	999	999	999	999	999	999
-114.54	44.75	287	32	-157	177	78	-60	999	999	999	999	999	999
-114.17	44.06	317	45	-90	137	45	-90	999	999	999	999	999	999
-110.31	37.254	310	45	-90	999	999	999	999	999	999	999	999	999
-124.82	41.1	270	52	161	12	75	40	999	999	999	999	999	999
-112.11	28.01	301	79	170	33	80	11	999	999	999	999	999	999
-83.71	36.12	259.72	83.28	-18.88	173	88	-170	999	999	999	999	999	999
-84.03	35.84	269.31	80.15	-17.5	185	61	-174	999	999	999	999	999	999
-85.51	35.2	33.325	68.533	-122.5	19	74	-127	999	999	999	999	999	999
-122.16	37.59	333	76	179	63	89	0	999	999	999	999	999	999
-113.86	29.85	324	68	-166	229	77	-23	999	999	999	999	999	999
-124.84	40.21	294	64	-154	192	67	-28	999	999	999	999	999	999
-113.75	44.64	348	52	-7	82	85	-142	999	999	999	999	999	999
-84.35	35.56	195.65	90	140	180	71	143	999	999	999	999	999	999
-114.48	31.15	134	75	180	224	90	15	999	999	999	999	999	999
-106.99	43.69	39	49	-168	302	81	-41	999	999	999	999	999	999
-114.33	44.44	154	20	-71	314	71	-97	999	999	999	999	999	999
-85.21	34.76	270.45	85.02	-8.68	90	41	-21	999	999	999	999	999	999
-105.72	42.37	93	69	-148	350	60	-25	314	38	220	5	123	52
-105.21	42.42	270	51	-135	148	56	-49	999	999	999	999	999	999
-118.81	37.59	318	48	-169	221	82	-43	999	999	999	999	999	999
-118.17	37.3	191	63	-17	289	75	-152	999	999	999	999	999	999
-110.31	37.262	311	90	0	999	999	999	999	999	999	999	999	999
-106.92	39.177	173	64	-120	999	999	999	999	999	999	999	999	999
-120.45	35.96	138	10	105	304	80	87	999	999	999	999	999	999
-109.62	37.942	330	45	-90	999	999	999	999	999	999	999	999	999
-123.93	62.53	334	38	81	165.36	52.55	96.97	999	999	999	999	999	999
-74.112	42.932	348	47	73	192	46	107	90	0	182	78	999	999
-83.71	35.7	62.99	71.25	-36.01	164	47	-165	999	999	999	999	999	999
-123.79	62.33	354	45	98	162.76	45.55	82.08	999	999	999	999	999	999
-123.95	62.24	17	39	115	166.04	55.22	71.11	999	999	999	999	999	999
-108.72	38.692	105	45	-90	999	999	999	999	999	999	999	999	999
-124.65	62.6	358	34	109	155.45	58.08	77.61	999	999	999	999	999	999
-84.75	35.61	254	76	-32	352	59	-164	999	999	999	999	999	999
-121.81	37.24	166	90	180	256	90	0	999	999	999	999	999	999
-81.16	41.65	25	80	165	118	75	10	72	3	341	18	172	72
-125.68	41.89	221	87	-34	313.02	56.05	-176.38	999	999	999	999	999	999
-121.86	53.64	246	35	38	123.38	69.32	118.89	999	999	999	999	999	999
-121.86	53.64	246	35	38	124	69	119	999	999	999	999	999	999
-121.72	37.72	353	79	-170	261	81	-11	999	999	999	999	999	999
-84.5	35.45	259	81.82	-54.59	358	21	-167	999	999	999	999	999	999
-117.44	32.74	126	37	106	287	55	78	999	999	999	999	999	999
-116.57	33.63	294	37	156	44	76	55	999	999	999	999	999	999
-84.99	34.94	196.87	82.944	172.9	202	61	-174	999	999	999	999	999	999
-84.39	40.55	288	80	-10	20	80	-170	244	14	334	0	65	76
-68.174	46.153	132	36	24	21	76	122	87	23	327	49	999	999
-118.42	37.55	223	54	-35	335	63	-138	999	999	999	999	999	999
-118.62	37.53	149	60	-163	51	75	-31	999	999	999	999	999	999
-117.92	37.66	40	45	-50	171	57	-122	999	999	999	999	999	999
-118.56	37.7	67	66	-17	164	74	-155	999	999	999	999	999	999
-107.04	38.89	321	54	-81	999	999	999	999	999	999	999	999	999
