%%%% from Lund-Snee and Zoback, 2020 Nature Communicaitons (See supplemental information)
%Lon	Lat	Regime	SHmax	Quality 
%%%%%%%%Regime: normal=0.5, strike-slip=1.5, thrust=2.5
%%%%%%%%Quality: A=0.3, B=0.2, C=0.1, D+=0.075, D=0.05
-102.33	31.63	0	85.9236	0.2
-101.01	31.73	0	58.7077	0.2
-101.08	31.83	0	68.1814	0.2
-100.76	31.83	0	51.137	0.2
-101.08	31.9	0	61.7255	0.2
-100.72	31.93	0	69.4364	0.2
-103.47	31.97	0	82.5467	0.2
-100.42	32.69	0	45.6301	0.2
-97.26	33.18	0	14.0909	0.2
-102.08	31.19	0	100	0.2
-101.96	31.2	0	105	0.2
-103.07	31.87	0	75	0.2
-103.27	33.45	0	118	0.1
-101.03	31.26	0	83	0.1
-102.45	31.42	0	105	0.1
-101.51	31.89	0	80.3414	0.1
-100.78	30.25	0	39.7672	0.1
-100.78	30.27	0	31.6094	0.1
-101.6	31.1	0	78.1935	0.1
-101.86	31.12	0	117.9002	0.1
-104.05	31.6	0	115.4649	0.1
-104	31.6	0	106.4764	0.1
-104.03	31.9	0	79.5061	0.1
-104.02	31.9	0	78.9301	0.1
-104.03	31.91	0	75.7628	0.1
-102.73	32.12	0	56.2586	0.1
-102.69	32.14	0	76.2168	0.1
-102.12	36.22	0	95.4348	0.1
-101.78	36.37	0	102.1029	0.1
-101.78	36.38	0	106.8566	0.1
-101.58	36.4	0	115.577	0.1
-101.72	36.42	0	100.6945	0.1
-101.72	36.44	0	97.8115	0.1
-101.71	36.44	0	95.2859	0.1
-101.74	36.46	0	95.5616	0.1
-101.75	36.47	0	106.0146	0.1
-101.8	36.48	0	100.547	0.1
-101.16	36.49	0	102.1517	0.1
-97.42	29.17	0	44	0.1
-101.3	31.1	0	55.0221	0.1
-103.18	31.5	0	124.1561	0.1
-101.91	37.2	0	114.3719	0.1
-97.35	33.23	0	44.3179	0.1
-97.34	33.25	0	23.9725	0.1
-97.34	33.27	0	20.644	0.1
-97.34	33.27	0	16.9869	0.1
-103.07	31.88	0	45	0.05
-98.09	28.72	0	57.6407	0.05
-100.79	30.27	0	36.9583	0.05
-102.11	30.5	0	154.6225	0.05
-102.15	30.51	0	152.6174	0.05
-102.11	30.51	0	140.9291	0.05
-102.1	30.51	0	142.2383	0.05
-102.15	30.52	0	149.8457	0.05
-102.2	30.53	0	173.6858	0.05
-102.19	30.53	0	165.6741	0.05
-102.27	30.54	0	136.7271	0.05
-102.33	30.55	0	134	0.05
-96.44	31	0	67.6798	0.05
-96.45	31.01	0	61.1514	0.05
-103.99	31.97	0	60.1773	0.05
-102.7	32.05	0	73.5421	0.05
-102.73	32.13	0	71.5002	0.05
-102.69	32.13	0	84.049	0.05
-97.67	32.39	0	30.4618	0.05
-97.28	33.22	0	28.1849	0.05
-97.36	33.23	0	9.2996	0.05
-97.31	33.24	0	18.1753	0.05
-97.35	33.25	0	25.05	0.05
-97.29	33.27	0	165.5321	0.05
-100.4	36.12	0	81.3431	0.05
-101.19	36.14	0	90.0273	0.05
-102.06	36.28	0	94.9635	0.05
-102.05	36.28	0	101.71	0.05
-101.8	36.4	0	108.9743	0.05
-101.61	36.41	0	107.1981	0.05
-101.73	36.44	0	101.1987	0.05
-101.34	36.49	0	117.8457	0.05
-97.83	28.96	0	47	0.05
-103.47	31.48	0	127.1196	0.05
-102.07	32.19	0	77.1586	0.05
-100.76	32.23	0	59.2871	0.05
-94.08	32.47	0	67.7259	0.05
-100.57	32.69	0	49.5977	0.05
-100.81	32.86	0	75.5263	0.05
-101.9	37.21	0	101.5477	0.05
-100.28	28.5	0	129.7095	0.05
-93.78	32.25	0	82.733	0.3
-98.18	28.79	0	64.5384	0.2
-104.15	31.53	0	128.8	0.3
-104.25	31.88	0	77.7	0.3
-97.25	33.31	0	47	0.3
-103.5	31.47	0	119.4	0.2
-104.18	31.67	0	87	0.2
